운동명,설명(Desc),카테고리,타겟 부위,필요장비,난이도,10분당 소모 칼로리(kcal),한 줄 설명
걷기,편안한 속도로 평지를 걷는 운동,유산소,전신,맨몸,초,35,가장 기본적이고 접근성이 좋은 필수 유산소
빠르게 걷기,숨이 살짝 찰 정도의 속도로 빠르게 걷는 운동,유산소,전신,맨몸,초,50,체지방 연소에 가장 효과적인 강도의 걷기
달리기(러닝머신),러닝머신 위에서 일정한 속도로 뛰는 운동,유산소,전신,러닝머신,중,93,심폐지구력 향상과 높은 칼로리 소모
실내 자전거,고정된 자전거의 페달을 밟아 하체를 굴리는 운동,유산소,하체,실내자전거,초,81,무릎 관절 부담이 적은 안전한 유산소
천국의 계단(스텝밀),끝없이 내려오는 계단을 계속 오르는 헬스장 기구,유산소,하체,스텝밀 머신,고,110,헬스장 유산소 끝판왕으로 불리는 칼로리 폭격기
수영,물속의 저항을 이겨내며 앞으로 나아가는 운동,유산소,전신,수영장,중,97,관절 무리 없이 전신을 사용하는 유산소
줄넘기,줄을 돌리며 가볍게 양발로 점프하는 운동,유산소,전신,줄넘기,중,116,짧은 시간에 칼로리를 극적으로 태우는 운동
등산,경사진 산길이나 둘레길을 걸어 올라가는 운동,유산소,하체,등산화,고,85,하체 근력과 심폐 기능을 동시에 기르는 야외 활동
스쿼트,허벅지가 바닥과 수평이 될 때까지 앉았다 일어나는 운동,무산소,하체,맨몸,초,58,하체 근력과 코어를 잡아주는 홈트 필수 운동
런지,한 발을 앞으로 내딛고 무릎을 굽혀 직각으로 내려가는 운동,무산소,하체,맨몸,중,58,허벅지와 엉덩이 라인을 예쁘게 다듬는 운동
레그 프레스,발판을 다리 힘으로 밀어내는 헬스장 머신 운동,무산소,하체,레그프레스 머신,초,70,허리 부담 없이 하체 근력을 집중 강화하는 기구
레그 익스텐션,머신에 앉아 발목 패드를 앞으로 펴올리는 운동,무산소,하체,머신,초,45,허벅지 앞쪽 근육을 갈라지게 만드는 머신 운동
레그 컬,엎드리거나 앉아서 무릎을 뒤로 접어 올리는 운동,무산소,하체,머신,초,45,허벅지 뒷면(햄스트링)을 탄탄하게 만드는 운동
이너싸이(아웃싸이),머신에 앉아 다리를 오므리거나 벌리는 운동,무산소,하체,머신,초,35,허벅지 안쪽 살과 엉덩이 바깥쪽을 관리하는 기구
덩키 킥,엎드린 상태에서 한쪽 다리를 뒤로 차올리는 운동,무산소,하체,맨몸,초,45,애플힙을 만들기 위해 집에서 자주 하는 운동
